"Limbang, SARAWAK","ILP Miri, SARAWAK","Miri, SARAWAK","Samalaju, SARAWAK","Bintulu, SARAWAK","Mukah, SARAWAK","Kapit, SARAWAK","Sibu, SARAWAK","Sarikei, SARAWAK","Sri Aman, SARAWAK","Samarahan, SARAWAK","Kuching, SARAWAK"
31,24,44,26,51,24,24,32,24,19,15,29
31,23,45,26,51,25,23,31,24,19,16,28
32,24,45,27,51,26,24,30,24,18,16,28
31,24,45,26,51,26,24,31,24,18,16,28
32,25,44,26,51,26,24,29,23,17,16,29
33,25,46,25,51,25,24,28,23,17,15,29
34,27,47,25,51,25,22,28,24,17,15,29
35,27,50,24,51,24,23,27,24,17,15,30
35,29,51,24,51,23,24,27,24,17,16,39
37,30,51,24,51,24,24,27,24,16,15,41
38,30,51,25,51,25,25,28,24,16,16,41
39,30,51,24,51,24,25,31,23,16,16,42
39,29,51,25,51,24,25,34,23,17,16,43
40,30,51,25,51,26,26,35,24,17,16,44
40,31,51,26,51,28,27,36,25,18,18,44
40,32,51,26,51,30,28,37,24,18,19,45
40,32,54,27,51,31,28,39,24,18,20,45
36,32,55,28,51,32,31,42,24,19,22,44
35,32,55,31,51,31,32,44,22,20,32,44
34,33,55,32,51,31,35,45,22,20,44,44
33,32,55,32,51,31,37,46,23,19,45,46
32,32,55,32,51,31,38,47,23,20,46,47
33,32,56,32,52,31,38,49,25,21,46,49
34,32,55,34,52,31,38,48,25,21,49,50
34,33,55,36,52,31,38,50,25,20,49,51
34,33,55,37,52,32,38,51,26,22,51,52
34,33,55,37,52,32,38,51,27,23,51,52
35,33,56,38,52,31,39,51,26,23,52,52
35,33,56,38,52,31,40,52,26,23,52,52
34,33,56,39,52,31,42,52,27,22,52,52
34,33,56,40,52,31,42,52,27,23,52,52
35,33,56,41,52,33,42,53,29,23,52,52
35,32,56,41,52,34,42,53,30,25,52,50
33,32,56,42,52,35,41,53,31,27,52,47
32,33,56,42,52,36,41,53,32,28,51,48
32,34,56,43,52,39,40,53,34,28,52,49
33,34,56,43,52,40,40,53,34,28,52,49
33,33,56,42,52,38,40,53,35,28,52,48
32,34,56,42,52,36,40,53,35,28,52,48
32,33,56,42,52,36,40,53,35,29,52,48
32,31,55,43,52,35,41,53,35,29,52,48
33,32,55,41,52,34,39,53,35,28,51,49
32,32,55,40,52,35,39,52,37,29,44,49
32,31,55,40,52,35,38,52,37,32,32,49
32,31,55,40,52,35,36,52,38,32,32,49
32,32,54,40,52,34,35,52,37,32,32,49
32,32,54,40,52,34,35,52,37,31,31,49
32,32,54,38,52,33,34,53,36,32,31,48
33,31,54,34,52,33,33,53,36,33,32,47
33,30,54,33,52,33,33,54,36,33,33,46
32,31,54,31,52,32,33,53,37,33,35,45
32,31,54,30,52,32,32,53,38,32,34,44
33,31,54,30,52,32,31,53,37,32,34,43
33,32,53,30,52,33,30,53,37,33,34,41
33,32,53,29,52,33,31,52,38,34,35,40
33,32,53,29,52,33,32,53,38,33,35,39
33,32,53,29,52,32,31,53,37,33,36,38
36,31,53,28,52,32,30,53,37,35,37,38
36,30,53,28,52,33,30,53,37,34,36,36
37,30,53,29,52,31,31,53,36,35,36,35
40,29,53,29,52,31,31,53,36,37,36,35
47,29,52,29,52,32,29,53,35,37,34,35
52,30,52,29,52,32,28,53,35,38,34,35
53,31,52,29,52,31,28,53,35,39,33,35
55,32,51,28,52,31,29,53,35,40,34,35
56,30,49,28,52,31,29,53,34,40,35,34
58,31,47,28,52,31,29,53,33,39,34,34
59,31,46,27,52,30,29,53,32,37,35,34
60,32,48,27,52,30,29,53,31,36,34,35
60,32,49,27,52,31,29,53,31,37,35,35
61,32,49,26,53,30,28,53,31,37,35,34
61,32,51,26,53,30,29,52,31,37,34,35
60,32,51,27,53,30,29,52,31,36,33,34
60,33,51,27,53,31,30,50,30,36,33,33
60,32,50,27,53,32,30,50,29,35,31,32
60,32,50,28,53,33,30,50,29,35,31,32
60,32,51,28,53,33,29,49,28,35,30,31
60,32,51,27,53,33,30,48,28,33,29,32
60,32,49,28,53,35,29,48,26,33,29,32
60,32,50,27,53,37,28,44,26,34,28,31
59,33,50,28,53,37,31,42,25,33,28,32
59,34,51,28,53,37,31,40,25,31,27,31
59,34,51,29,53,36,32,38,24,31,27,32
59,34,52,28,53,35,32,38,24,30,26,32
58,34,52,28,53,35,33,36,24,29,27,30
57,34,52,28,53,34,34,35,23,27,27,30
55,33,53,29,53,35,34,33,22,26,27,29
54,32,53,30,53,35,34,33,22,24,27,29
52,32,53,31,53,35,32,32,22,23,25,28
44,33,53,31,53,36,30,31,23,23,24,29
35,33,53,29,53,36,29,31,22,22,23,28
26,33,53,30,53,37,28,30,22,22,22,27
21,33,53,30,53,37,29,29,22,22,24,25
